symbol,endDate,three
603676.SS,20250630,0.6940662
688065.SS,20250630,0.69397
603486.SS,20250630,0.6917542
300905.SZ,20250630,0.69142544
000650.SZ,20250630,0.69002545
688663.SS,20250630,0.6899067
000997.SZ,20250630,0.68980676
000792.SZ,20250630,0.6893386
003023.SZ,20250630,0.6882803
002349.SZ,20250630,0.6882589
002026.SZ,20250630,0.6881988
605305.SS,20250630,0.68817
002997.SZ,20250630,0.68811494
002376.SZ,20250630,0.68785036
000887.SZ,20250630,0.6851338
000612.SZ,20250630,0.68467945
603998.SS,20250630,0.68373203
002478.SZ,20250630,0.68359196
301498.SZ,20250630,0.68290955
600750.SS,20250630,0.68254757
600469.SS,20250630,0.6820438
000922.SZ,20250630,0.6818545
601127.SS,20250630,0.6813615
300909.SZ,20250630,0.6812467
300871.SZ,20250630,0.6803532
300476.SZ,20250630,0.6790987
688513.SS,20250630,0.67822474
600419.SS,20250630,0.67602277
603158.SS,20250630,0.675666
600487.SS,20250630,0.67481965
002281.SZ,20250630,0.67437726
603358.SS,20250630,0.67426425
600523.SS,20250630,0.67401737
688550.SS,20250630,0.67385274
300129.SZ,20250630,0.67326665
603210.SS,20250630,0.67309415
601101.SS,20250630,0.67262566
002612.SZ,20250630,0.6723501
000960.SZ,20250630,0.6719667
600378.SS,20250630,0.67181253
605128.SS,20250630,0.6715306
002511.SZ,20250630,0.67140305
600519.SS,20250630,0.6702874
603053.SS,20250630,0.6692714
603129.SS,20250630,0.66822886
000581.SZ,20250630,0.66749585
601989.SS,20250630,0.6673963
300232.SZ,20250630,0.6664721
301611.SZ,20250630,0.66626924
601179.SS,20250630,0.664671
603200.SS,20250630,0.66460043
002246.SZ,20250630,0.66402024
002481.SZ,20250630,0.6640159
603006.SS,20250630,0.66369855
300926.SZ,20250630,0.66304845
603966.SS,20250630,0.6629607
300502.SZ,20250630,0.66295135
002852.SZ,20250630,0.6625578
002290.SZ,20250630,0.6622195
002811.SZ,20250630,0.6622007
601607.SS,20250630,0.6614637
600983.SS,20250630,0.6613449
605288.SS,20250630,0.65992934
603079.SS,20250630,0.6595981
300394.SZ,20250630,0.65950173
300088.SZ,20250630,0.65940577
688113.SS,20250630,0.6577847
301165.SZ,20250630,0.6577616
600938.SS,20250630,0.657743
002006.SZ,20250630,0.657728
600435.SS,20250630,0.6576681
600976.SS,20250630,0.657068
601728.SS,20250630,0.65573573
300563.SZ,20250630,0.6551948
300835.SZ,20250630,0.6551672
603050.SS,20250630,0.65508395
002233.SZ,20250630,0.65419495
600420.SS,20250630,0.6536832
600456.SS,20250630,0.6533304
000021.SZ,20250630,0.65299714
000975.SZ,20250630,0.65270776
688778.SS,20250630,0.65198725
600587.SS,20250630,0.65184104
001255.SZ,20250630,0.65134144
601019.SS,20250630,0.6505811
001339.SZ,20250630,0.6500086
605133.SS,20250630,0.6498703
000969.SZ,20250630,0.649728
600851.SS,20250630,0.64915395
600864.SS,20250630,0.6482956
300627.SZ,20250630,0.64823097
605058.SS,20250630,0.64785004
300570.SZ,20250630,0.6474676
002931.SZ,20250630,0.6474157
300976.SZ,20250630,0.6470097
300553.SZ,20250630,0.64642906
600757.SS,20250630,0.64616376
600312.SS,20250630,0.6455098
601177.SS,20250630,0.6449869
600518.SS,20250630,0.6449052
000833.SZ,20250630,0.64487445
603766.SS,20250630,0.64449126
605376.SS,20250630,0.64424014
000551.SZ,20250630,0.64408904
301000.SZ,20250630,0.64386696
600416.SS,20250630,0.6435193
002318.SZ,20250630,0.64345187
300770.SZ,20250630,0.64278513
601168.SS,20250630,0.6420343
688285.SS,20250630,0.64164364
300965.SZ,20250630,0.64005715
603639.SS,20250630,0.6399579
600050.SS,20250630,0.63994807
300415.SZ,20250630,0.63966554
002170.SZ,20250630,0.63930345
300684.SZ,20250630,0.63890165
000025.SZ,20250630,0.6387894
600787.SS,20250630,0.638409
603035.SS,20250630,0.6381424
002523.SZ,20250630,0.63762426
600746.SS,20250630,0.6365818
003026.SZ,20250630,0.63612795
300841.SZ,20250630,0.6355702
301607.SZ,20250630,0.6352198
